id,ra,dec,sky_zone,object_type
3328,201.2096962586,-0.6515840019,F,STAR
12643,,40.9406915844,J,STAR
10319,187.8112997821,57.8047975717,A,STAR
3025,197.4310516898,-0.224783172,F,GALAXY
16986,329.7355456569,18.7245681942,C,STAR
16978,321.6160938196,-8.0873898258,C,QUASAR
2325,342.6279257236,30.5043483819,C,STAR
14997,250.1787752623,31.2929670398,G,STAR
8421,193.1328081438,4.6661589737,F,GALAXY
9895,188.4492711155,29.7047133665,A,GALAXY
9943,140.5845406307,31.1178102668,D,GALAXY
4298,208.670429025,15.3450307116,E,GALAXY
13681,233.3335575488,11.7314420984,E,STAR
3253,244.9636748146,14.1722393659,E,GALAXY
7290,155.0584449374,3.5037699346,B,QUASAR
15352,328.1840078638,22.0781745697,C,GALAXY
17560,122.3558638836,46.6478449295,H,GALAXY
4062,100.7289315605,28.5844665037,H,STAR
7999,143.6083637975,6.8427459971,B,STAR
1349,170.9704582184,40.72595654,A,GALAXY
11901,147.2819017094,57.710185639,D,STAR
6968,101.0407026535,28.4643524628,H,STAR
15046,148.9456126641,1.6018681878,B,GALAXY
2706,241.3898539833,-0.8287011875,E,GALAXY
6243,163.4859573897,20.0460591394,F,GALAXY
8786,214.6759057615,33.1765091815,I,GALAXY
2683,229.1678709935,32.8930274482,I,STAR
6418,169.9820579334,40.606582947,A,QUASAR
17301,,14.7581092462,C,STAR
2379,133.6804567426,22.4269284188,B,GALAXY
188,213.7485374543,23.4471624153,E,GALAXY
2959,142.8374856176,35.1320321504,D,STAR
14558,,29.6828555155,I,GALAXY
15611,79.658502657,15.9101334755,H,STAR
9240,101.8451252217,38.3524314745,H,STAR
11268,212.0623917397,34.1802933317,I,STAR
15170,338.5180427313,14.7528982887,C,GALAXY
5118,167.6019544586,24.6693855944,D,GALAXY
11985,126.2163402893,8.5581901497,B,GALAXY
2703,168.4919451088,57.2583633052,A,GALAXY
17632,150.2883795815,15.0565205545,B,QUASAR
5335,154.4464028744,14.9344029913,B,GALAXY
2067,253.8617174006,38.9658345568,G,STAR
2931,124.9571075344,41.1098606139,H,GALAXY
16952,136.8733501965,41.2019341092,D,GALAXY
14272,199.4592176805,60.0924876541,I,GALAXY
17500,215.6784830934,56.8985301143,I,STAR
6268,232.5164032532,4.3819355051,E,GALAXY
9012,131.4441724953,27.7940638079,B,GALAXY
14548,146.9948251445,53.4785821174,D,STAR
128,257.0525813078,21.9917819099,G,STAR
264,195.0441209064,52.1595349779,A,STAR
12266,255.6344660204,22.5143861911,G,STAR
16686,238.9313920395,56.2268884504,G,GALAXY
4943,21.4773677981,18.9792370745,J,QUASAR
14569,,59.1248295618,A,STAR
14102,147.8165143533,36.675330005,D,GALAXY
17744,173.7288757609,27.0102956401,F,QUASAR
11016,157.2524517619,37.7800246645,D,GALAXY
12742,228.3749831323,2.1041594338,E,GALAXY
13815,58.2234889911,-6.1041768582,J,STAR
15912,238.4544853051,27.4335576606,G,STAR
11214,223.8086891286,23.8937893868,E,QUASAR
4670,185.5118037771,5.1557540172,F,STAR
15409,234.2667601331,16.6187156913,E,STAR
7847,218.3308222807,5.1313737621,E,GALAXY
6961,258.3597805812,-13.5010049162,E,STAR
8277,221.8158649026,43.613598878,I,GALAXY
3922,,39.7721492132,I,GALAXY
1183,148.63663836,13.4382218993,B,STAR
