id,u,g,r,i,z,run,rerun,camcol,field
1,18.45886,17.24552,16.65724,16.27922,16.07007,3712,301,5,198
2,18.50274,17.50821,17.19507,17.07868,17.08054,3705,301,6,131
3,18.69451,17.30333,16.48301,16.0557,15.75763,5323,301,5,140
4,19.34373,18.32701,17.97602,17.82627,17.7577,8108,301,4,57
5,19.33328,18.1379,17.5818,17.21341,16.99397,4187,301,2,107
6,18.12876,17.20399,16.86027,16.57519,16.44839,4858,301,1,461
7,18.31343,17.18547,16.74916,16.56921,16.47262,2986,301,2,301
8,18.34997,18.16349,18.01111,18.07979,18.20549,2243,301,1,266
9,19.19889,17.3023,16.39202,15.96983,15.63067,3893,301,2,93
10,19.20559,17.97837,17.21518,16.80125,16.57013,3530,301,3,293
11,19.30992,19.20912,18.96076,18.98843,19.05964,4576,301,1,265
12,19.20174,17.75096,17.15206,16.80305,16.5873,1740,301,1,85
13,18.45884,16.44801,15.54898,15.10957,14.77067,752,301,2,454
14,16.94389,15.7096,15.8429,15.94241,15.99443,6166,301,3,80
15,17.82623,16.73559,16.42801,16.36265,16.35736,3704,301,4,101
16,19.30827,18.23942,17.74998,17.38521,17.28945,3647,301,3,98
17,19.41127,17.5106,16.63732,16.23914,15.92031,3716,301,4,191
18,19.15103,17.65524,16.91478,16.45519,16.14704,5072,301,5,27
19,18.87952,18.24662,18.13234,18.10985,18.0002,5976,301,4,196
20,19.2563,17.95196,17.32869,16.95251,16.72808,3647,301,5,86
21,18.63828,17.22725,16.56602,16.1567,15.88071,2711,301,5,131
22,,,,,,2243,301,1,254
23,19.54403,17.83586,17.12337,16.83121,16.66434,6581,301,5,200
24,18.45535,17.36655,16.86518,16.55651,16.32152,1729,301,5,423
25,19.07127,17.71968,17.59879,17.56979,17.58617,2346,301,2,73
26,17.72636,16.86216,16.52482,16.38468,16.33848,4576,301,5,676
27,19.56008,17.67873,16.88595,16.5583,16.39302,308,301,4,97
28,18.46578,17.53908,17.17828,16.92449,16.81991,3606,301,5,40
29,18.73635,16.93718,16.15791,15.78305,15.50207,2126,301,4,425
30,17.86506,16.41378,15.87307,15.6987,15.6573,4263,301,4,225
31,19.34047,17.85696,16.96869,16.55382,16.27201,5137,301,2,213
32,18.6118,18.55796,18.92148,19.19601,19.44129,6161,301,6,62
33,16.29908,14.83721,14.19784,13.79484,13.62455,3664,301,2,64
34,18.98073,18.04723,17.71988,17.42415,17.41382,3813,301,4,141
35,18.99369,18.79062,18.76642,18.80218,18.71998,3716,301,3,143
36,16.96809,15.10113,14.37446,14.09826,13.97409,4829,301,3,204
37,18.71722,16.851,15.93957,15.54107,15.21755,2190,301,1,41
38,16.62523,15.69847,15.39538,15.29027,15.26293,5314,301,6,104
39,19.01532,17.97673,17.60041,17.47798,17.46751,5060,301,3,130
40,18.83715,17.51519,16.79489,16.37182,16.07395,3964,301,4,143
41,18.33512,17.40427,17.05469,16.91917,16.89026,3704,301,2,151
42,18.68636,16.77695,15.90006,15.48302,15.17496,6161,301,1,61
43,17.29369,16.54163,16.83964,17.09272,17.26339,1231,301,3,181
44,19.32653,17.84913,16.87588,16.43412,16.10305,4874,301,3,658
45,18.21291,16.30792,15.27647,14.85475,14.50216,745,301,5,560
46,18.47264,17.55711,17.26953,17.13661,17.11886,5313,301,5,46
47,19.34048,18.22069,17.79627,17.54296,17.40625,2662,301,1,237
48,18.80394,17.62088,17.16185,16.99216,16.93213,4003,301,3,76
49,16.61016,15.23257,14.79165,14.64456,14.59084,2243,301,5,179
50,18.7632,17.40529,16.80775,16.41467,16.20607,3705,301,2,341
51,19.25424,18.92417,18.7639,18.5389,18.57989,7923,301,2,249
52,19.49597,18.29066,17.62094,17.31071,17.1647,2662,301,1,189
53,18.45967,17.01288,16.35865,15.98787,15.70951,3838,301,6,16
54,19.54513,18.27347,17.68062,17.24653,17.02286,1140,301,1,183
55,19.32871,17.92427,17.36086,17.16329,17.06995,4679,301,5,97
56,18.11707,16.84304,16.41318,16.24281,16.18031,1045,301,3,93
57,18.88882,17.25566,16.5035,16.20006,16.06319,1035,301,2,151
58,18.21688,16.77863,16.02712,15.63945,15.36982,3530,301,4,295
59,17.8029,16.71366,16.7063,16.79079,16.91261,5314,301,1,93
60,19.0256,17.70708,17.024,16.58233,16.35901,5045,301,4,97
61,19.12535,18.10379,17.79145,17.67622,17.65638,8111,301,1,191
62,18.92532,17.84679,17.34629,17.00229,16.78975,3838,301,3,116
63,19.12436,17.18639,16.28006,15.86043,15.51883,5641,301,3,57
64,19.19828,17.74082,17.10844,16.82885,16.67942,3958,301,4,188
